Emotion Words,Emoter Words,Object Words
[^\w]anger[^\w],child[^:],that
angry,[^\w]she[^\w],cookie
annoyed,[^\w]her[^\w],treat
[^\w]mad[^\w],girl,dessert
disgust,[^\w]he[^\w],dog
stinky,him,pup
smell,boy,bear
yuck,they,teddy
afraid,[^\w]his[^\w],monkey
fear,guy,toy
frightened,person,stuffed animal
scared,lady,stuffed toy
glad,[^\w]she's[^\w],trash
good,[^\w]he's[^\w],garbage
happy,kid,flies
[^\w]joy[^\w],,castle
lonely,,fortress
miserable,,house
sad,,home
awe,,food
curious,,stain
interested,,spot
wonder,,mess
embarrass,,chocolate
guilt,,milk
pride,,dirt
proud,,mud
disappoint,,snake
bad,,branch
shame,,vase
excited,,present
bored,,gift
careful,,box
concentrated,,red ribbon
confused,,rabbit
confident,,bunny
exhausted,,ribbon
friendly,,bow
hurt,,table
surprised,,award
stink,,trophy
grossed,,prize
gross,,present
shy,,ice cream
pee yew,,ice-cream
pee-yew,,scoop
ouch,,cone 
p-u,,cat
frustrated,,kitty
scary,,broke
[^\w]pu[^\w],,monster
grump,,eye
empathy,,dark
[^\w]ew[^\w],,bed
upset,,threw up
mean,,mud
bleh,,bath
ugh,,[^\w]rat[^\w]
stunk,,arm
cranky,,cast
,,closet
,,spiderman
,,pee
,,potty
,,accident
,,wet
,,owie
,,flag
,,soda
,,sign
,,treat
,,fort
,,bandage
,,ouwie
,,sheets
,,shirt
,,glass
,,pottery
,,kittie
,,throw-up
,,throwup
,,vomit
,,blood
,,fly
,,house
,,temple
,,pottied
,,mouse
,,ouwie
,,clothes
,,pants
,,treasure
,,cup
,,booboo
,,boo-boo
,,boo boo
,,poo poo
,,spider-man
,,puppy
,,puppie
,,bug
,,bandaid
,,band aid
,,band-aid
,,doll
,,animal
,,kitten
,,stuffy
,,birthday
,,award
,,stuff
,,kiddie
,,ouch
,,stuff
,,circle
,,[^\w]goo[^\w]
,,potti
,,slime
,,jar